,year,genre,name,rating,budget,PF
0,2005,action,6,5.73,705000000,0.16
1,2005.016393442623,action,6,5.7219672131147545,711762295.0819672,0.16704918032786886
2,2005.032786885246,action,6,5.713934426229509,718524590.1639345,0.1740983606557377
3,2005.049180327869,action,6,5.705901639344263,725286885.2459016,0.18114754098360655
4,2005.0655737704917,action,6,5.697868852459017,732049180.3278688,0.1881967213114754
5,2005.0819672131147,action,6,5.689836065573771,738811475.409836,0.19524590163934424
6,2005.0983606557377,action,6,5.681803278688525,745573770.4918033,0.2022950819672131
7,2005.1147540983607,action,6,5.673770491803279,752336065.5737705,0.20934426229508196
8,2005.1311475409836,action,6,5.665737704918033,759098360.6557378,0.21639344262295082
9,2005.1475409836066,action,6,5.657704918032787,765860655.7377049,0.22344262295081968
10,2005.1639344262296,action,6,5.6496721311475415,772622950.8196721,0.2304918032786885
11,2005.1803278688524,action,6,5.641639344262296,779385245.9016393,0.23754098360655737
12,2005.1967213114754,action,6,5.63360655737705,786147540.9836066,0.24459016393442623
13,2005.2131147540983,action,6,5.625573770491804,792909836.0655738,0.25163934426229506
14,2005.2295081967213,action,6,5.617540983606558,799672131.147541,0.2586885245901639
15,2005.2459016393443,action,6,5.609508196721312,806434426.2295082,0.2657377049180328
16,2005.2622950819673,action,6,5.601475409836066,813196721.3114754,0.2727868852459016
17,2005.27868852459,action,6,5.59344262295082,819959016.3934426,0.2798360655737705
18,2005.295081967213,action,6,5.585409836065574,826721311.4754099,0.28688524590163933
19,2005.311475409836,action,6,5.5773770491803285,833483606.5573771,0.29393442622950816
20,2005.327868852459,action,6,5.569344262295083,840245901.6393442,0.300983606557377
21,2005.344262295082,action,6,5.561311475409837,847008196.7213115,0.3080327868852459
22,2005.360655737705,action,6,5.553278688524591,853770491.8032787,0.31508196721311477
23,2005.377049180328,action,6,5.545245901639345,860532786.8852459,0.3221311475409836
24,2005.3934426229507,action,6,5.537213114754099,867295081.9672132,0.32918032786885243
25,2005.4098360655737,action,6,5.529180327868853,874057377.0491803,0.33622950819672126
26,2005.4262295081967,action,6,5.521147540983607,880819672.1311475,0.34327868852459015
27,2005.4426229508197,action,6,5.513114754098361,887581967.2131147,0.350327868852459
28,2005.4590163934427,action,6,5.5050819672131155,894344262.295082,0.35737704918032787
29,2005.4754098360656,action,6,5.49704918032787,901106557.3770492,0.3644262295081967
30,2005.4918032786886,action,6,5.489016393442624,907868852.4590163,0.37147540983606553
31,2005.5081967213114,action,6,5.480983606557377,914631147.5409837,0.37852459016393436
32,2005.5245901639344,action,6,5.472950819672132,921393442.6229508,0.38557377049180325
33,2005.5409836065573,action,6,5.464918032786885,928155737.704918,0.39262295081967213
34,2005.5573770491803,action,6,5.45688524590164,934918032.7868853,0.39967213114754097
35,2005.5737704918033,action,6,5.448852459016393,941680327.8688525,0.4067213114754098
36,2005.5901639344263,action,6,5.4408196721311475,948442622.9508197,0.41377049180327863
37,2005.6065573770493,action,6,5.432786885245902,955204918.0327868,0.42081967213114746
38,2005.622950819672,action,6,5.424754098360656,961967213.1147541,0.4278688524590164
39,2005.639344262295,action,6,5.41672131147541,968729508.1967213,0.43491803278688523
40,2005.655737704918,action,6,5.408688524590164,975491803.2786885,0.44196721311475407
41,2005.672131147541,action,6,5.400655737704918,982254098.3606558,0.4490163934426229
42,2005.688524590164,action,6,5.392622950819672,989016393.4426229,0.45606557377049173
43,2005.704918032787,action,6,5.384590163934426,995778688.5245903,0.46311475409836056
44,2005.72131147541,action,6,5.37655737704918,1002540983.6065574,0.4701639344262295
45,2005.7377049180327,action,6,5.3685245901639345,1009303278.6885246,0.47721311475409833
46,2005.7540983606557,action,6,5.360491803278689,1016065573.7704918,0.48426229508196716
47,2005.7704918032787,action,6,5.352459016393443,1022827868.852459,0.491311475409836
48,2005.7868852459017,action,6,5.344426229508197,1029590163.9344263,0.4983606557377048
49,2005.8032786885246,action,6,5.336393442622951,1036352459.0163934,0.5054098360655738
50,2005.8196721311476,action,6,5.328360655737705,1043114754.0983607,0.5124590163934426
51,2005.8360655737704,action,6,5.320327868852459,1049877049.1803279,0.5195081967213114
52,2005.8524590163934,action,6,5.312295081967213,1056639344.262295,0.5265573770491803
53,2005.8688524590164,action,6,5.304262295081967,1063401639.3442624,0.5336065573770491
54,2005.8852459016393,action,6,5.2962295081967214,1070163934.4262295,0.5406557377049179
55,2005.9016393442623,action,6,5.288196721311476,1076926229.5081968,0.5477049180327869
56,2005.9180327868853,action,6,5.28016393442623,1083688524.590164,0.5547540983606557
57,2005.9344262295083,action,6,5.272131147540984,1090450819.672131,0.5618032786885245
58,2005.950819672131,action,6,5.264098360655738,1097213114.7540984,0.5688524590163934
59,2005.967213114754,action,6,5.256065573770492,1103975409.8360655,0.5759016393442622
60,2005.983606557377,action,6,5.248032786885246,1110737704.9180326,0.5829508196721311
61,2005,comedy,15,4.85,1552500000,0.67
62,2005.016393442623,comedy,15,4.859508196721311,1548114754.0983605,0.6718032786885246
63,2005.032786885246,comedy,15,4.869016393442623,1543729508.1967213,0.6736065573770492
64,2005.049180327869,comedy,15,4.878524590163934,1539344262.2950819,0.6754098360655738
65,2005.0655737704917,comedy,15,4.888032786885246,1534959016.3934426,0.6772131147540984
66,2005.0819672131147,comedy,15,4.897540983606557,1530573770.4918032,0.679016393442623
67,2005.0983606557377,comedy,15,4.907049180327869,1526188524.590164,0.6808196721311476
68,2005.1147540983607,comedy,15,4.91655737704918,1521803278.6885245,0.6826229508196722
69,2005.1311475409836,comedy,15,4.926065573770491,1517418032.7868853,0.6844262295081968
