year,genre,name,rating,budget,PF
2009.81818181818,drama,21,6.24545454545455,3950727272.72727,-0.28
2009.90909090909,drama,21,6.24272727272727,4013863636.36364,-0.3
2009,love_story,2,5.3,250000000,-0.66
2009.09090909091,love_story,2,5.22545454545455,277727272.727273,-0.59
2009.18181818182,love_story,2,5.15090909090909,305454545.454545,-0.52
2009.27272727273,love_story,2,5.07636363636364,333181818.181818,-0.45
2009.36363636364,love_story,2,5.00181818181818,360909090.909091,-0.38
2009.45454545455,love_story,2,4.92727272727273,388636363.636364,-0.31
2009.54545454545,love_story,2,4.85272727272727,416363636.363636,-0.24
2009.63636363636,love_story,2,4.77818181818182,444090909.090909,-0.17
2009.72727272727,love_story,2,4.70363636363636,471818181.818182,-0.1
2009.81818181818,love_story,2,4.62909090909091,499545454.545455,-0.03
2009.90909090909,love_story,2,4.55454545454546,527272727.272727,0.04
2009,rom__com,2,4.8,672500000,-0.26
2009.09090909091,rom__com,2,4.88,782954545.454546,-0.237272727272727
2009.18181818182,rom__com,2,4.96,893409090.909091,-0.214545454545454
2009.27272727273,rom__com,2,5.04,1003863636.36364,-0.191818181818182
2009.36363636364,rom__com,2,5.12,1114318181.81818,-0.169090909090909
2009.45454545455,rom__com,2,5.2,1224772727.27273,-0.146363636363636
2009.54545454545,rom__com,2,5.28,1335227272.72727,-0.123636363636364
2009.63636363636,rom__com,2,5.36,1445681818.18182,-0.100909090909091
2009.72727272727,rom__com,2,5.44,1556136363.63636,-0.078181818181818
2009.81818181818,rom__com,2,5.52,1666590909.09091,-0.055454545454546
2009.90909090909,rom__com,2,5.6,1777045454.54545,-0.032727272727273
2009,thriller,12,5.78,2302500000,-0.4
2009.09090909091,thriller,12,5.71,2339318181.81818,-0.412727272727273
2009.18181818182,thriller,12,5.64,2376136363.63636,-0.425454545454546
2009.27272727273,thriller,12,5.57,2412954545.45455,-0.438181818181818
2009.36363636364,thriller,12,5.5,2449772727.27273,-0.450909090909091
2009.45454545455,thriller,12,5.43,2486590909.09091,-0.463636363636364
2009.54545454545,thriller,12,5.36,2523409090.90909,-0.476363636363636
2009.63636363636,thriller,12,5.29,2560227272.72727,-0.489090909090909
2009.72727272727,thriller,12,5.22,2597045454.54545,-0.501818181818182
2009.81818181818,thriller,12,5.15,2633863636.36364,-0.514545454545454
2009.90909090909,thriller,12,5.08,2670681818.18182,-0.527272727272727
2010,action,6,5.05,1774250000,0.44
2010.09090909091,action,6,5.08909090909091,1919318181.81818,0.474545454545455
2010.18181818182,action,6,5.12818181818182,2064386363.63636,0.509090909090909
2010.27272727273,action,6,5.16727272727273,2209454545.45455,0.543636363636364
2010.36363636364,action,6,5.20636363636364,2354522727.27273,0.578181818181818
2010.45454545455,action,6,5.24545454545455,2499590909.09091,0.612727272727273
2010.54545454545,action,6,5.28454545454546,2644659090.90909,0.647272727272727
2010.63636363636,action,6,5.32363636363636,2789727272.72727,0.681818181818182
2010.72727272727,action,6,5.36272727272727,2934795454.54545,0.716363636363636
2010.81818181818,action,6,5.40181818181818,3079863636.36364,0.750909090909091
2010.90909090909,action,6,5.44090909090909,3224931818.18182,0.785454545454545
2010,comedy,20,5.47,3557500000,-0.12
2010.09090909091,comedy,20,5.39272727272727,3590681818.18182,-0.118181818181818
